AKJV
American King James Version
Genesis 1:1	In the beginning God created the heaven and the earth.
2 Chronicles 4:4	It stood on twelve oxen, three looking toward the north, and three looking toward the west, and three looking toward the south, and three looking toward the east: and the sea was set above on them, and all their hinder parts were inward.
2 Chronicles 4:5	And the thickness of it was an handbreadth, and the brim of it like the work of the brim of a cup, with flowers of lilies; and it received and held three thousand baths.
2 Chronicles 4:6	He made also ten lavers, and put five on the right hand, and five on the left, to wash in them: such things as they offered for the burnt offering they washed in them; but the sea was for the priests to wash in.
2 Chronicles 4:7	And he made ten candlesticks of gold according to their form, and set them in the temple, five on the right hand, and five on the left.
2 Chronicles 4:8	He made also ten tables, and placed them in the temple, five on the right side, and five on the left. And he made an hundred basins of gold.
2 Chronicles 4:9	Furthermore he made the court of the priests, and the great court, and doors for the court, and overlaid the doors of them with brass.
2 Chronicles 4:10	And he set the sea on the right side of the east end, over against the south.
2 Chronicles 4:11	And Huram made the pots, and the shovels, and the basins. And Huram finished the work that he was to make for king Solomon for the house of God;
2 Chronicles 4:12	To wit, the two pillars, and the pommels, and the capitals which were on the top of the two pillars, and the two wreaths to cover the two pommels of the capitals which were on the top of the pillars;
2 Chronicles 4:13	And four hundred pomegranates on the two wreaths; two rows of pomegranates on each wreath, to cover the two pommels of the capitals which were on the pillars.
2 Chronicles 4:14	He made also bases, and lavers made he on the bases;
2 Chronicles 4:15	One sea, and twelve oxen under it.
2 Chronicles 4:16	The pots also, and the shovels, and the meat hooks, and all their instruments, did Huram his father make to king Solomon for the house of the LORD of bright brass.
2 Chronicles 4:17	In the plain of Jordan did the king cast them, in the clay ground between Succoth and Zeredathah.
2 Chronicles 4:18	Thus Solomon made all these vessels in great abundance: for the weight of the brass could not be found out.
2 Chronicles 4:19	And Solomon made all the vessels that were for the house of God, the golden altar also, and the tables where on the show bread was set;
2 Chronicles 4:20	Moreover the candlesticks with their lamps, that they should burn after the manner before the oracle, of pure gold;
2 Chronicles 4:21	And the flowers, and the lamps, and the tongs, made he of gold, and that perfect gold;
2 Chronicles 4:22	And the snuffers, and the basins, and the spoons, and the censers, of pure gold: and the entry of the house, the inner doors thereof for the most holy place, and the doors of the house of the temple, were of gold.
2 Chronicles 5:1	Thus all the work that Solomon made for the house of the LORD was finished: and Solomon brought in all the things that David his father had dedicated; and the silver, and the gold, and all the instruments, put he among the treasures of the house of God.
2 Chronicles 5:2	Then Solomon assembled the elders of Israel, and all the heads of the tribes, the chief of the fathers of the children of Israel, to Jerusalem, to bring up the ark of the covenant of the LORD out of the city of David, which is Zion.
2 Chronicles 5:3	Why all the men of Israel assembled themselves to the king in the feast which was in the seventh month.
2 Chronicles 5:4	And all the elders of Israel came; and the Levites took up the ark.
2 Chronicles 5:5	And they brought up the ark, and the tabernacle of the congregation, and all the holy vessels that were in the tabernacle, these did the priests and the Levites bring up.
2 Chronicles 5:6	Also king Solomon, and all the congregation of Israel that were assembled to him before the ark, sacrificed sheep and oxen, which could not be told nor numbered for multitude.
2 Chronicles 5:7	And the priests brought in the ark of the covenant of the LORD to his place, to the oracle of the house, into the most holy place, even under the wings of the cherubim:
2 Chronicles 5:8	For the cherubim spread forth their wings over the place of the ark, and the cherubim covered the ark and the staves thereof above.
2 Chronicles 5:9	And they drew out the staves of the ark, that the ends of the staves were seen from the ark before the oracle; but they were not seen without. And there it is to this day.
2 Chronicles 5:10	There was nothing in the ark save the two tables which Moses put therein at Horeb, when the LORD made a covenant with the children of Israel, when they came out of Egypt.
2 Chronicles 5:11	And it came to pass, when the priests were come out of the holy place: (for all the priests that were present were sanctified, and did not then wait by course:
2 Chronicles 5:12	Also the Levites which were the singers, all of them of Asaph, of Heman, of Jeduthun, with their sons and their brothers, being arrayed in white linen, having cymbals and psalteries and harps, stood at the east end of the altar, and with them an hundred and twenty priests sounding with trumpets:)
2 Chronicles 5:13	It came even to pass, as the trumpeters and singers were as one, to make one sound to be heard in praising and thanking the LORD; and when they lifted up their voice with the trumpets and cymbals and instruments of music, and praised the LORD, saying, For he is good; for his mercy endures for ever: that then the house was filled with a cloud, even the house of the LORD;
2 Chronicles 5:14	So that the priests could not stand to minister by reason of the cloud: for the glory of the LORD had filled the house of God.
2 Chronicles 6:1	Then said Solomon, The LORD has said that he would dwell in the thick darkness.
2 Chronicles 6:2	But I have built an house of habitation for you, and a place for your dwelling for ever.
2 Chronicles 6:3	And the king turned his face, and blessed the whole congregation of Israel: and all the congregation of Israel stood.
2 Chronicles 6:4	And he said, Blessed be the LORD God of Israel, who has with his hands fulfilled that which he spoke with his mouth to my father David, saying,
2 Chronicles 6:5	Since the day that I brought forth my people out of the land of Egypt I chose no city among all the tribes of Israel to build an house in, that my name might be there; neither chose I any man to be a ruler over my people Israel:
2 Chronicles 6:6	But I have chosen Jerusalem, that my name might be there; and have chosen David to be over my people Israel.
2 Chronicles 6:7	Now it was in the heart of David my father to build an house for the name of the LORD God of Israel.
2 Chronicles 6:8	But the LORD said to David my father, For as much as it was in your heart to build an house for my name, you did well in that it was in your heart:
2 Chronicles 6:9	Notwithstanding you shall not build the house; but your son which shall come forth out of your loins, he shall build the house for my name.
2 Chronicles 6:10	The LORD therefore has performed his word that he has spoken: for I am risen up in the room of David my father, and am set on the throne of Israel, as the LORD promised, and have built the house for the name of the LORD God of Israel.
2 Chronicles 6:11	And in it have I put the ark, wherein is the covenant of the LORD, that he made with the children of Israel.
2 Chronicles 6:12	And he stood before the altar of the LORD in the presence of all the congregation of Israel, and spread forth his hands:
2 Chronicles 6:13	For Solomon had made a brazen scaffold of five cubits long, and five cubits broad, and three cubits high, and had set it in the middle of the court: and on it he stood, and kneeled down on his knees before all the congregation of Israel, and spread forth his hands toward heaven.
2 Chronicles 6:14	And said, O LORD God of Israel, there is no God like you in the heaven, nor in the earth; which keep covenant, and show mercy to your servants, that walk before you with all their hearts:
2 Chronicles 6:15	You which have kept with your servant David my father that which you have promised him; and spoke with your mouth, and have fulfilled it with your hand, as it is this day.
2 Chronicles 6:16	Now therefore, O LORD God of Israel, keep with your servant David my father that which you have promised him, saying, There shall not fail you a man in my sight to sit on the throne of Israel; yet so that your children take heed to their way to walk in my law, as you have walked before me.
2 Chronicles 6:17	Now then, O LORD God of Israel, let your word be verified, which you have spoken to your servant David.
